GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,AV0AA,AV0AAM
"G560","2009-2013","Wyoming","56","560","Wyoming",570134,0
"G720","2009-2013","Puerto Rico","72","720","Puerto Rico",3682966,0
"G010","2010-2014","Alabama","01","010","Alabama",4817678,0
"G020","2010-2014","Alaska","02","020","Alaska",728300,0
"G040","2010-2014","Arizona","04","040","Arizona",6561516,0
"G050","2010-2014","Arkansas","05","050","Arkansas",2947036,0
"G060","2010-2014","California","06","060","California",38066920,0
"G080","2010-2014","Colorado","08","080","Colorado",5197580,0
"G090","2010-2014","Connecticut","09","090","Connecticut",3592053,0
"G100","2010-2014","Delaware","10","100","Delaware",917060,0
"G110","2010-2014","District of Columbia","11","110","District of Columbia",633736,0
"G120","2010-2014","Florida","12","120","Florida",19361792,0
"G130","2010-2014","Georgia","13","130","Georgia",9907756,0
"G150","2010-2014","Hawaii","15","150","Hawaii",1392704,0
"G160","2010-2014","Idaho","16","160","Idaho",1599464,0
"G170","2010-2014","Illinois","17","170","Illinois",12868747,0
"G180","2010-2014","Indiana","18","180","Indiana",6542411,0
"G190","2010-2014","Iowa","19","190","Iowa",3078116,0
"G200","2010-2014","Kansas","20","200","Kansas",2882946,0
"G210","2010-2014","Kentucky","21","210","Kentucky",4383272,0
"G220","2010-2014","Louisiana","22","220","Louisiana",4601049,0
"G230","2010-2014","Maine","23","230","Maine",1328535,0
"G240","2010-2014","Maryland","24","240","Maryland",5887776,0
"G250","2010-2014","Massachusetts","25","250","Massachusetts",6657291,0
"G260","2010-2014","Michigan","26","260","Michigan",9889024,0
"G270","2010-2014","Minnesota","27","270","Minnesota",5383661,0
"G280","2010-2014","Mississippi","28","280","Mississippi",2984345,0
"G290","2010-2014","Missouri","29","290","Missouri",6028076,0
"G300","2010-2014","Montana","30","300","Montana",1006370,0
"G310","2010-2014","Nebraska","31","310","Nebraska",1855617,0
"G320","2010-2014","Nevada","32","320","Nevada",2761584,0
"G330","2010-2014","New Hampshire","33","330","New Hampshire",1321069,0
"G340","2010-2014","New Jersey","34","340","New Jersey",8874374,0
"G350","2010-2014","New Mexico","35","350","New Mexico",2080085,0
"G360","2010-2014","New York","36","360","New York",19594330,0
