GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "39015","Brown, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",81774,88618,88186,95304,104815,120610,131174,141646,161446,184718,216980,245381,273844,289742,294075,339603,372609,388738,405604,440946,469467,507758,526689,571195,601933,644278,670661,717042,804133,833986,875749,947600,972061,992789,1039179,1100315,1142686,1178939,1244291,1275771,1277564,1301338,1375161,1374230,1394347,1430704,1461415,1522428,1581352,1632740,1692637,1835328
 "39015","Brown, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",26477,26835,27710,28855,29251,29501,30143,30109,30608,31310,31587,31982,32158,32150,32052,32162,32666,32930,33284,33901,34574,35138,35625,36351,37141,38154,38746,39398,40138,40808,41544,42566,42839,43368,43794,43995,44161,44334,44490,44668,44740,44868,44632,44289,44125,43950,43717,43660,43558,43623,43473,43414
 "39015","Brown, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3088,3302,3182,3303,3583,4088,4352,4704,5275,5900,6869,7672,8516,9012,9175,10559,11407,11805,12186,13007,13579,14450,14784,15713,16207,16886,17309,18200,20034,20437,21080,22262,22691,22892,23729,25010,25875,26592,27968,28561,28555,29004,30811,31029,31600,32553,33429,34870,36305,37428,38935,42275
 "39017","Butler, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",840852,889099,954132,1032252,1166839,1299578,1421372,1614766,1808012,2014829,2270496,2552518,2829849,2984714,3183175,3525395,3771896,4037296,4274231,4579112,4946105,5311515,5536541,5990736,6274834,6678830,7131583,7530647,8088636,8705319,9216369,9670901,10145787,10366984,10829044,11219666,11678008,12210171,12745787,13093575,12876683,13206658,13831955,14295267,14536339,15375333,16096919,16589543,17420324,18149810,19164548,20284408
 "39017","Butler, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",223766,226880,229294,232421,236933,239035,240718,241398,245884,251379,256493,259532,261926,262015,262757,267077,270444,274324,280021,283064,286469,292903,299492,305085,310942,314626,318290,322122,325431,328265,330751,333368,336679,339514,343022,346655,350732,356691,361192,364179,366633,369111,370164,370628,371497,373877,376173,378527,380751,382114,383603,385648
 "39017","Butler, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3758,3919,4161,4441,4925,5437,5905,6689,7353,8015,8852,9835,10804,11391,12115,13200,13947,14717,15264,16177,17266,18134,18486,19636,20180,21228,22406,23378,24855,26519,27865,29010,30135,30535,31570,32366,33296,34232,35288,35954,35121,35780,37367,38570,39129,41124,42791,43827,45753,47498,49959,52598
 "39019","Carroll, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",65200,69613,73672,80804,93786,109172,116950,131376,146249,161135,185262,201463,219252,229410,245005,267446,280495,287056,303931,320128,345331,370467,377836,410635,425958,456241,477467,511722,546449,611468,624656,642021,649971,668849,699565,740449,749105,779092,814707,836952,810963,860071,915702,933475,958500,987823,990719,990096,1038359,1071913,1106263,1200250
 "39019","Carroll, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",21489,21673,22061,22507,23320,24018,24325,24709,25173,25714,25591,25591,25508,25701,25964,26038,26144,26230,26356,26310,26399,26541,26878,27025,27316,27545,27890,28124,28470,28637,28763,28851,28961,29172,29325,29297,29118,29163,29062,28999,28917,28859,28832,28551,28272,28144,27729,27630,27329,27134,26984,26897
 "39019","Carroll, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3034,3212,3339,3590,4022,4545,4808,5317,5810,6266,7239,7872,8595,8926,9436,10271,10729,10944,11532,12168,13081,13958,14057,15195,15594,16563,17120,18195,19194,21352,21717,22253,22443,22928,23856,25274,25727,26715,28033,28861,28045,29803,31760,32695,33903,35099,35729,35834,37995,39504,40997,44624
 "39021","Champaign, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",111377,115493,127397,131810,149138,165382,182383,198075,213861,232510,265537,283699,300628,315446,331095,395490,431493,459320,484486,535447,590802,626537,632297,691080,711146,731116,764384,800231,873446,915176,931644,999186,1016578,1004756,1040421,1081168,1100905,1164904,1208617,1252821,1222676,1241260,1314748,1352669,1408974,1425474,1441006,1472930,1536678,1604464,1650754,1815726
 "39021","Champaign, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",30445,30539,30936,30963,30733,32324,32299,32851,33187,33437,33860,33654,33599,33780,33637,33906,34166,34298,34822,35198,35728,36110,36411,36634,37035,37351,37644,37990,38168,38443,38669,38941,39047,39280,39395,39565,39592,40018,40127,40263,40265,40078,39828,39579,39468,39089,38976,38760,38857,38799,38930,38960
 "39021","Champaign, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3658,3782,4118,4257,4853,5116,5647,6029,6444,6954,7842,8430,8948,9338,9843,11664,12629,13392,13913,15212,16536,17351,17366,18864,19202,19574,20306,21064,22884,23806,24093,25659,26035,25579,26410,27326,27806,29110,30120,31116,30366,30971,33011,34176,35699,36467,36972,38001,39547,41353,42403,46605
 "39023","Clark, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",588516,624985,701759,735920,802916,860916,916174,989647,1079820,1192800,1306649,1415166,1480026,1525851,1612044,1800730,1903421,2002549,2074743,2260471,2386486,2520855,2596523,2749563,2838718,2976943,3129076,3231731,3416525,3584912,3655945,3790831,3845111,3825805,3894043,3968490,4048269,4202355,4317994,4438436,4404166,4469136,4683057,4731435,4794546,4918142,5040663,5115676,5282973,5423309,5590837,6060179
 "39023","Clark, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",153853,157639,160007,157903,157377,155828,154645,151748,150753,150681,150789,150149,149463,147821,147142,147100,147075,147403,147514,147992,147720,147596,147747,147584,147442,147355,147289,147116,146268,145742,145159,144605,143803,143229,141758,141380,141367,140668,139829,139404,138778,138272,137823,137198,136682,136364,135810,134805,134636,134697,134315,133593
 "39023","Clark, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3825,3965,4386,4661,5102,5525,5924,6522,7163,7916,8665,9425,9902,10322,10956,12242,12942,13586,14065,15274,16155,17079,17574,18630,19253,20203,21244,21967,23358,24598,25186,26215,26739,26711,27470,28070,28637,29874,30881,31839,31735,32321,33979,34486,35078,36066,37116,37949,39239,40263,41625,45363
 "39025","Clermont, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",313979,324923,346946,382517,438425,498659,554674,641030,739613,869786,1014453,1177161,1291884,1393775,1470702,1614616,1763867,1892707,2035891,2183338,2385228,2544721,2656393,2863587,3015589,3215116,3404837,3623120,4101223,4395542,4887882,5247394,5588974,5799373,6028747,6208669,6475926,6808420,7064085,7395605,7276974,7600972,8153918,8296832,8461404,8976198,9907151,10036341,10538243,11091392,11908604,12557971
 "39025","Clermont, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",96202,95893,98285,99375,102799,104723,109635,111828,115416,120617,124804,129032,130938,132719,134129,135550,137393,139924,143332,145624,147784,150920,154020,157006,160158,162726,165351,167937,170952,173634,176389,177960,179845,182143,184446,187281,189486,192209,194346,195891,196512,197613,198886,199526,200504,201516,202077,203332,204456,205803,206851,207449
