GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "26015","Barry, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",122447,128417,141910,161108,185268,203974,232218,266713,294848,334757,382248,421922,456642,474800,493724,549226,586595,625673,657971,721667,790137,813204,856830,916772,983337,1083949,1195778,1287120,1382281,1476342,1560413,1658702,1664882,1647381,1673525,1720064,1770419,1840410,1885550,1980318,1859108,1961683,2105299,2184011,2232841,2325253,2431274,2512726,2588991,2718961,2823224,3055367
 "26015","Barry, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",34686,38297,39113,40307,40996,41165,42337,42952,43536,44181,45365,46026,46905,46707,46561,47040,47695,48460,49242,49810,49988,50139,50670,51463,52151,52768,53746,54850,55492,55838,56171,56931,57572,58061,58682,59005,59621,59610,59969,59788,59469,59092,58921,59025,59094,59305,59434,59801,60689,61195,61481,62061
 "26015","Barry, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3530,3353,3628,3997,4519,4955,5485,6210,6773,7577,8426,9167,9735,10165,10604,11676,12299,12911,13362,14488,15807,16219,16910,17814,18856,20542,22249,23466,24910,26440,27780,29135,28918,28373,28519,29151,29695,30874,31442,33122,31262,33197,35731,37001,37785,39208,40907,42018,42660,44431,45920,49232
 "26017","Bay, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",414066,420933,464555,499669,561721,621936,662994,755195,862681,949558,1037742,1133350,1220646,1263933,1328915,1423673,1499357,1564800,1621964,1719331,1800018,1911834,1975535,2096904,2183299,2305243,2388194,2481873,2598926,2663591,2768336,2916279,2975726,2963820,3033850,3103979,3144488,3254007,3352534,3508060,3490053,3634680,3754847,3803280,3816791,3904543,4062096,4139382,4178901,4383922,4484468,4892672
 "26017","Bay, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",116323,117502,118513,119094,119824,120548,120441,120560,121500,122057,121074,120037,120401,118804,117330,116677,115017,114267,113959,112898,112061,111804,111803,112182,112397,112025,111680,111231,111040,110704,110295,110192,109836,109861,109559,109453,109165,108711,108132,108320,107913,107678,107423,106980,106817,106073,105271,104421,104085,103674,102964,102387
 "26017","Bay, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3560,3582,3920,4196,4688,5159,5505,6264,7100,7780,8571,9442,10138,10639,11326,12202,13036,13694,14233,15229,16063,17100,17670,18692,19425,20578,21384,22313,23405,24060,25099,26465,27092,26978,27691,28359,28805,29933,31004,32386,32341,33755,34954,35551,35732,36810,38587,39641,40149,42286,43554,47786
 "26019","Benzie, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",26399,29472,32910,36636,41340,46304,51790,57525,66394,74946,82403,88417,98043,105843,112999,124049,135192,141816,150276,157680,170905,180848,190049,205029,226458,249765,271304,293698,321397,346854,376657,397678,416070,412532,406546,465667,475296,492293,511992,540907,530113,556535,583760,596051,611597,654284,694139,715584,749405,784251,815439,901694
 "26019","Benzie, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",8345,8587,8620,8846,9513,9810,10068,10504,10750,10845,11160,11262,11471,11260,11412,11312,11475,11521,11692,11882,11998,12251,12411,12654,13009,13451,13927,14241,14662,15118,15652,16090,16490,16793,17239,17420,17697,17867,17863,17733,17564,17495,17380,17319,17340,17466,17386,17523,17625,17748,17767,17852
 "26019","Benzie, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3163,3432,3818,4142,4346,4720,5144,5476,6176,6911,7384,7851,8547,9400,9902,10966,11781,12309,12853,13270,14244,14762,15313,16203,17408,18569,19480,20623,21920,22943,24064,24716,25232,24566,23583,26732,26857,27553,28662,30503,30182,31811,33588,34416,35271,37460,39925,40837,42519,44188,45896,50509
 "26021","Berrien, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",639353,666696,717542,808588,895502,974624,1031937,1102463,1228915,1344483,1434755,1525164,1659127,1725497,1789859,1934226,2036097,2158762,2309300,2429013,2592513,2678822,2756531,2961887,3139298,3317067,3490921,3606947,3840424,3974373,4195088,4388398,4546335,4580264,4677911,4877281,4895862,5148999,5407036,5686896,5415350,5705942,5928587,5934610,6031149,6275458,6636108,6831708,6976710,7282882,7396383,8017773
 "26021","Berrien, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",163676,163981,165230,168102,170653,172002,173395,174881,174870,173427,173635,171288,170961,166840,164326,163308,162945,162415,162973,163001,162143,161415,161622,161982,162266,162353,163022,162873,162407,162046,162028,162471,161153,160604,160314,159742,158510,157537,157378,157380,157059,156740,156911,156669,156205,156074,155136,154451,154264,153892,153352,153025
 "26021","Berrien, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3906,4066,4343,4810,5248,5666,5951,6304,7028,7752,8263,8904,9705,10342,10892,11844,12496,13292,14170,14902,15989,16596,17055,18285,19347,20431,21414,22146,23647,24526,25891,27010,28211,28519,29180,30532,30887,32684,34357,36135,34480,36404,37783,37880,38610,40208,42776,44232,45226,47325,48231,52395
 "26023","Branch, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",116092,122364,140084,154797,179583,187930,217318,236811,270775,299442,334935,351092,384889,397589,414303,441124,461424,492324,520103,542952,591880,617112,630114,648225,666912,715997,752428,787794,840671,863207,940156,993201,1014076,1025849,1062337,1080429,1105235,1129339,1152626,1189356,1175005,1249823,1315581,1318492,1355279,1381195,1439110,1463423,1527827,1580216,1648333,1839281
 "26023","Branch, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",35792,38029,38844,39671,39876,39691,39011,39448,39568,40358,41040,40192,40122,39585,38908,38844,39071,39634,40376,40769,41328,41608,41874,42199,42518,42785,43609,44050,44978,45111,45382,45875,46099,46651,46680,46791,46733,46805,46788,46305,45378,45173,43921,43790,43582,43733,43635,43451,43345,43474,43444,43424
 "26023","Branch, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3244,3218,3606,3902,4504,4735,5571,6003,6843,7420,8161,8735,9593,10044,10648,11356,11810,12422,12881,13318,14322,14832,15048,15361,15685,16735,17254,17884,18691,19135,20716,21650,21998,21990,22758,23091,23650,24129,24635,25685,25894,27667,29953,30109,31097,31582,32981,33680,35248,36349,37942,42356
 "26025","Calhoun, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",557383,576982,628950,692203,761421,806447,895883,980447,1061283,1163902,1263112,1339901,1452074,1516735,1553984,1638441,1757818,1850392,1979736,2065989,2213983,2323434,2438165,2590929,2677654,2839825,2937277,3039351,3245454,3344799,3400229,3469055,3553372,3677694,3760315,3862879,3960724,4018000,4148403,4330535,4244268,4376648,4468042,4606751,4646972,4764740,5007572,5087973,5141505,5245821,5409544,5974947
 "26025","Calhoun, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",141960,141561,140647,141963,142349,143021,142640,142359,142772,143463,142341,141701,141880,139886,137629,135682,134523,134316,134849,134459,135457,136226,136814,137298,137775,137910,137393,136630,136834,137783,138021,138014,138158,138580,138962,139443,138946,138291,137582,137313,136301,135953,135111,134755,134782,134845,134377,134343,134127,133858,133806,133580
